[34m[1mwandb[0m: Detected [agents] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Weave is installed but not imported. Add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai
Weights & Biases initialized.
Game: 0231/500 | Score: 05 | Steps: 073 | Epsilon: 0.010
Game: 0232/500 | Score: 02 | Steps: 038 | Epsilon: 0.010
Game: 0233/500 | Score: 11 | Steps: 211 | Epsilon: 0.010
Game: 0234/500 | Score: 22 | Steps: 363 | Epsilon: 0.010
Game: 0235/500 | Score: 07 | Steps: 067 | Epsilon: 0.010
Game: 0236/500 | Score: 07 | Steps: 062 | Epsilon: 0.010
Game: 0237/500 | Score: 06 | Steps: 057 | Epsilon: 0.010
Game: 0238/500 | Score: 32 | Steps: 496 | Epsilon: 0.010
Game: 0239/500 | Score: 09 | Steps: 186 | Epsilon: 0.010
Game: 0240/500 | Score: 05 | Steps: 059 | Epsilon: 0.010
Game: 0241/500 | Score: 17 | Steps: 269 | Epsilon: 0.010
Game: 0242/500 | Score: 04 | Steps: 103 | Epsilon: 0.010
Game: 0243/500 | Score: 33 | Steps: 373 | Epsilon: 0.010
Game: 0244/500 | Score: 00 | Steps: 003 | Epsilon: 0.010
Game: 0245/500 | Score: 28 | Steps: 525 | Epsilon: 0.010
Game: 0246/500 | Score: 07 | Steps: 155 | Epsilon: 0.010
Game: 0247/500 | Score: 00 | Steps: 015 | Epsilon: 0.010
Game: 0248/500 | Score: 27 | Steps: 387 | Epsilon: 0.010
Game: 0249/500 | Score: 01 | Steps: 019 | Epsilon: 0.010
Game: 0250/500 | Score: 16 | Steps: 287 | Epsilon: 0.010
Game: 0251/500 | Score: 02 | Steps: 112 | Epsilon: 0.010
Game: 0252/500 | Score: 06 | Steps: 229 | Epsilon: 0.010
Game: 0253/500 | Score: 11 | Steps: 227 | Epsilon: 0.010
Game: 0254/500 | Score: 26 | Steps: 517 | Epsilon: 0.010
Game: 0255/500 | Score: 17 | Steps: 238 | Epsilon: 0.010
Game: 0256/500 | Score: 17 | Steps: 158 | Epsilon: 0.010
Game: 0257/500 | Score: 13 | Steps: 176 | Epsilon: 0.010
Game: 0258/500 | Score: 20 | Steps: 277 | Epsilon: 0.010
Game: 0259/500 | Score: 11 | Steps: 199 | Epsilon: 0.010
Game: 0260/500 | Score: 04 | Steps: 108 | Epsilon: 0.010
Game: 0261/500 | Score: 01 | Steps: 012 | Epsilon: 0.010
Game: 0262/500 | Score: 30 | Steps: 500 | Epsilon: 0.010
Game: 0263/500 | Score: 04 | Steps: 160 | Epsilon: 0.010
Game: 0264/500 | Score: 13 | Steps: 109 | Epsilon: 0.010
Game: 0265/500 | Score: 02 | Steps: 028 | Epsilon: 0.010
Game: 0266/500 | Score: 16 | Steps: 249 | Epsilon: 0.010
Game: 0267/500 | Score: 01 | Steps: 019 | Epsilon: 0.010
Game: 0268/500 | Score: 02 | Steps: 087 | Epsilon: 0.010
Game: 0269/500 | Score: 02 | Steps: 052 | Epsilon: 0.010
Game: 0270/500 | Score: 11 | Steps: 273 | Epsilon: 0.010
Game: 0271/500 | Score: 02 | Steps: 088 | Epsilon: 0.010
Game: 0272/500 | Score: 00 | Steps: 048 | Epsilon: 0.010
Game: 0273/500 | Score: 30 | Steps: 454 | Epsilon: 0.010
